area_name,measure_point_id,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pce_coating_percentage,total_pipe_lenght
Almelo Tusveld,298,0.0,1802.55,0.0,801.43,0.0,0.0,477.69,523.43,1802.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.55,1.0,1802.53
Almelo Tusveld,299,0.0,0.63,0.0,0.63,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,1.0,0.63
Almelo Tusveld,328,502.91,0.0,0.0,502.91,0.0,0.0,0.0,0.0,502.91,0.0,0.0,0.0,502.91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,502.91
Almelo Tusveld,329,70.56,0.0,0.0,70.56,0.0,0.0,0.0,0.0,70.56,0.0,0.0,0.0,70.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.56
Almelo Tusveld,280,0.0,200.14,0.0,0.0,0.0,0.0,73.99,126.15,200.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.14,1.0,200.13
Almelo Tusveld,195,0.0,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.0,0.64
Almelo Tusveld,296,0.0,166.49,0.0,0.0,0.0,0.0,166.49,0.0,166.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.49,1.0,166.49
Almelo Tusveld,224,0.0,11.81,0.0,11.81,0.0,0.0,0.0,0.0,11.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.81,0.0,11.81
Almelo Tusveld,226,0.0,242.59,0.0,36.67,0.0,0.0,96.12,109.8,242.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.59,1.0,242.59
Almelo Tusveld,297,0.0,311.84,0.0,0.0,0.0,0.0,311.84,0.0,311.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.84,1.0,311.84
Almelo Tusveld,333,0.0,19.41,0.0,19.41,0.0,0.0,0.0,0.0,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.41,0.0,19.41
Almelo Tusveld,217,0.0,0.97,0.0,0.97,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.97
Almelo Tusveld,211,0.0,0.57,0.0,0.57,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.0,0.57
Almelo Tusveld,188,0.0,1179.34,0.0,18.61,0.0,0.0,2.06,1158.67,1179.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179.34,0.0,1179.34
Almelo Tusveld,249,0.0,22.36,0.0,14.89,0.0,0.0,7.47,0.0,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.36,1.0,22.36
Almelo Tusveld,198,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,1.0,0.53
Almelo Tusveld,286,0.0,1.11,0.0,0.0,0.0,0.0,0.0,1.11,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.0,1.11
