area_id,measure_point_id,sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pipe_coating,pipe_length,point_label,gradient_label,binned_points,binned_gradients
Deurningen,471,92.1712819414,110.530072979,55.1980550898,-35.6277736736,-105.632595027,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,-30.6388550486,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-32.9416276221,-23.0277257351,5,7
Deurningen,471,110.530072979,55.1980550898,-35.6277736736,-105.632595027,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,-30.6388550486,-32.9416276221,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-35.1603530853,-22.1872546317,5,7
Deurningen,471,55.1980550898,-35.6277736736,-105.632595027,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,-30.6388550486,-32.9416276221,-35.1603530853,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-39.3856864737,-42.2533338848,5,7
Deurningen,471,-35.6277736736,-105.632595027,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,-30.6388550486,-32.9416276221,-35.1603530853,-39.3856864737,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-55.2973994857,-159.117130119,4,7
Deurningen,471,-105.632595027,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,-30.6388550486,-32.9416276221,-35.1603530853,-39.3856864737,-55.2973994857,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-73.5724005807,-182.75001095,4,7
Deurningen,471,-125.136671327,-101.794481535,-64.3215495018,-38.183044259,-30.6388550486,-32.9416276221,-35.1603530853,-39.3856864737,-55.2973994857,-73.5724005807,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84,-42.7167461685,308.556544122,5,9
Deurningen,474,91.8209895531,-5.07709296554,-135.647750059,-94.1804408731,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-44.5950728324,164.06613538,5,8
Deurningen,474,-5.07709296554,-135.647750059,-94.1804408731,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-18.5400823188,260.549905136,5,9
Deurningen,474,-135.647750059,-94.1804408731,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-9.0840888329,94.559934859,5,8
Deurningen,474,-94.1804408731,15.6331398829,81.2516722063,69.2580716108,11.06900481,-42.8789311118,-61.0016863704,-44.5950728324,-18.5400823188,-9.0840888329,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54,-22.9998499964,-139.157611635,5,7
